player,Team 
YBK Jaiswal,RR
JC Buttler,RR
SV Samson,RR
D Padikkal,RR
SO Hetmyer,RR
R Ashwin,RR
R Parag,RR
TA Boult,RR
OC McCoy,RR
WP Saha,GT
Shubman Gill,GT
MS Wade,GT
HH Pandya,GT
DA Miller,GT
V Kohli,RCB
F du Plessis,RCB
RM Patidar,RCB
GJ Maxwell,RCB
MK Lomror,RCB
KD Karthik,RCB
Shahbaz Ahmed,RCB
PWH de Silva,RCB
HV Patel,RCB
JR Hazlewood,RCB
Q de Kock,LSG
KL Rahul,LSG
M Vohra,LSG
DJ Hooda,LSG
MP Stoinis,LSG
E Lewis,LSG
KH Pandya,LSG
PVD Chameera,LSG
PK Garg,SRH
Abhishek Sharma,SRH
RA Tripathi,SRH
AK Markram,SRH
N Pooran,LSG
Washington Sundar,SRH
R Shepherd,LSG
J Suchith,
B Kumar,SRH
Umran Malik,SRH
JM Bairstow,PBKS
S Dhawan,PBKS
M Shahrukh Khan,PBKS
MA Agarwal,SRH
LS Livingstone,PBKS
JM Sharma,PBKS
PN Mankad,LSG
PP Shaw,DC
DA Warner,DC
MR Marsh,DC
RR Pant,DC
SN Khan,DC
R Powell,DC
AR Patel,DC
SN Thakur,KKR
Kuldeep Yadav,DC
Ishan Kishan,MI
RG Sharma,MI
D Brevis,MI
Tilak Varma,MI
TH David,MI
Ramandeep Singh,MI
DR Sams,LSG
RD Gaikwad,CSK
DP Conway,CSK
MM Ali,CSK
N Jagadeesan,KKR
AT Rayudu,CSK
MS Dhoni,CSK
Simarjeet Singh,CSK
MJ Santner,CSK
R Tewatia,GT
Rashid Khan,GT
VR Iyer,KKR
N Rana,KKR
A Tomar,
SS Iyer,KKR
SW Billings,
AD Russell,KKR
RK Singh,KKR
SP Narine,KKR
UT Yadav,KKR
KS Williamson,GT
T Stubbs,MI
R Sanjay Yadav,
JJ Bumrah,MI
Lalit Yadav,DC
PBB Rajapaksa,PBKS
Harpreet Brar,PBKS
R Dhawan,PBKS
RD Chahar,PBKS
K Rabada,PBKS
Arshdeep Singh,PBKS
JDS Neesham,
A Badoni,LSG
JO Holder,RR
Mohsin Khan,LSG
Avesh Khan,LSG
S Dube,CSK
AM Rahane,CSK
Shashank Singh,CSK
M Jansen,SRH
Mohammed Siraj,RCB
RV Uthappa,
DJ Bravo,CSK 
M Theekshana,CSK
Mukesh Choudhary,CSK
HR Shokeen,MI
HE van der Dussen,
KS Bharat,GT
KS Sharma,LSG
SP Jackson,
PJ Cummins,KKR
TG Southee,KKR
KA Pollard,
M Ashwin,RR
K Kartikeya,MI
RP Meredith,MI
RV Patel,DC
A Nortje,DC
KK Ahmed,DC
Kartik Tyagi,SRH
Fazalhaq Farooqi,SRH
B Indrajith,
AJ Finch,
AS Roy,KKR
Shivam Mavi,GT
Harshit Rana,KKR
SA Yadav,MI
B Sai Sudharsan,GT
Mandeep Singh,
SA Abbott,
S Gopal,
RA Jadeja,CSK
D Pretorius,CSK
PJ Sangwan,GT
LH Ferguson,KKR
AS Joseph,GT
KK Nair,
DJ Mitchell,
A Manohar,GT
M Prasidh Krishna,
SS Prabhudessai,RCB
MK Pandey,DC
JD Unadkat,LSG
Anuj Rawat,RCB
Yash Dayal,GT
NT Ellis,PBKS
VG Arora,KKR
Ravi Bishnoi,LSG
CV Varun,KKR
V Shankar,GT
P Simran Singh,PBKS
OF Smith,GT
FA Allen,RCB
TS Mills,
Aman Hakim Khan,DC
YS Chahal,RR
KR Sen,
